City,Cloudiness,Humidity,Lat,Lon,Temperature,Wind
Kaitangata,64,72,-46.28,169.85,65.53,3.78
Castro,75,71,-42.48,-73.76,55.4,6.93
Namibe,8,100,-15.19,12.15,77.45,2.66
Vila Velha,0,88,-3.71,-38.6,81.34,3.36
Chokurdakh,36,70,70.62,147.9,-15.7,3.44
North Bend,1,55,43.41,-124.22,64.83,11.41
San Francisco,75,43,37.78,-122.42,69.66,2.55
Bethel,1,79,60.79,-161.76,27.97,5.82
Sobolevo,12,88,54.43,31.9,31.15,13.51
Boone,1,28,36.22,-81.67,42.8,11.41
Puerto Ayora,40,78,-0.74,-90.35,79.41,8.05
Busselton,36,55,-33.64,115.35,67.87,15.08
Rikitea,68,100,-23.12,-134.97,78.76,21.34
Punta Arenas,90,76,-53.16,-70.91,48.09,33.33
Tiksi,24,64,71.64,128.87,-22.18,3.11
Bredasdorp,56,88,-34.53,20.04,66.94,5.82
Media Luna,75,73,-21.67,-64.63,69.8,9.17
Yellowknife,40,55,62.45,-114.38,33.8,12.28
Shitanjing,0,62,39.23,106.34,19.81,3.0
Takab,92,91,36.4,47.11,28.09,2.1
Charters Towers,8,86,-20.07,146.27,80.65,7.81
Progreso,90,88,-34.68,-56.22,72.32,5.82
Hervey Bay,75,78,-25.3,152.85,85.01,3.36
Izhma,92,85,65.01,53.91,27.55,4.68
Buritizeiro,24,71,-17.37,-44.96,80.87,2.55
Constitucion,90,22,23.99,-104.67,66.63,12.75
Oktyabrskiy,90,91,55.61,37.97,33.84,6.71
Longyearbyen,75,78,78.22,15.63,12.2,11.41
Salalah,40,74,17.01,54.1,78.8,6.93
Hithadhoo,0,100,-0.6,73.08,83.12,4.79
Saint-Philippe,75,38,45.36,-73.48,25.7,11.41
Torbay,90,63,47.66,-52.73,26.82,24.16
Yumen,0,53,40.29,97.04,27.28,5.12
Tabou,0,99,4.42,-7.36,83.44,7.25
Shostka,0,80,51.86,33.47,30.47,7.81
Carnarvon,0,21,-30.97,22.13,56.12,3.78
Esperance,20,74,10.24,-61.45,79.41,11.41
Pisco,0,30,-13.71,-76.2,71.6,24.16
Vanimo,64,100,-2.67,141.3,81.19,13.51
Talpa,0,24,28.83,-111.63,81.52,5.99
Ilulissat,32,54,69.22,-51.1,1.4,10.29
Upernavik,24,100,72.79,-56.15,-11.47,8.25
Charlestown,1,51,41.38,-71.64,35.76,9.17
Mahibadhoo,80,100,3.78,72.97,83.44,7.81
Lamu,0,95,0.57,122.3,74.93,3.0
Tilichiki,0,74,60.47,166.1,-0.31,4.12
Nishihara,1,52,35.74,139.53,46.9,1.43
Olhao,0,72,37.03,-7.84,56.71,5.82
Airai,76,90,-8.93,125.41,71.42,1.21
Ariquemes,36,78,-9.91,-63.03,81.05,1.88
Cherskiy,8,51,68.75,161.3,-17.86,4.9
Vila,90,100,45.18,8.4,49.82,3.36
Kharp,88,71,66.82,65.8,4.1,2.66
Norman Wells,40,37,65.28,-126.83,50.0,5.82
Healdsburg,1,43,38.61,-122.87,70.77,5.82
Baijiantan,92,91,45.63,85.18,23.5,1.54
Keffi,8,67,8.85,7.88,71.06,2.1
Cayenne,0,78,4.94,-52.33,77.0,8.03
Virginia Beach,20,60,36.85,-75.98,45.07,5.82
Sinnamary,80,97,5.38,-52.96,78.35,11.05
Balabac,44,98,7.99,117.06,82.31,12.73
Nizwa,0,84,22.93,57.53,57.16,1.43
Sioux Lookout,75,59,50.1,-91.92,33.8,9.17
Tuatapere,92,97,-46.13,167.69,60.31,3.22
East London,92,99,-33.02,27.91,75.43,1.21
Hermanus,76,94,-34.42,19.24,63.45,3.0
Meulaboh,68,100,4.14,96.13,78.04,4.56
Langxiang,0,37,46.95,128.87,43.84,6.13
Potosi,0,21,-19.59,-65.75,39.43,3.11
Jamestown,0,90,-33.21,138.6,70.61,4.0
Codrington,0,78,-28.95,153.24,77.52,1.12
Ribeira Grande,12,95,38.52,-28.7,61.84,9.26
Luanda,40,88,-8.83,13.24,80.6,5.82
Cidreira,92,89,-30.17,-50.22,73.81,13.4
Antalaha,0,89,-14.9,50.28,74.75,4.9
Tuktoyaktuk,40,79,69.44,-133.03,28.4,8.05
San Cristobal,75,72,-0.39,-78.55,56.88,10.29
Lake Havasu City,1,15,34.47,-114.34,80.38,8.05
Saint-Pierre,20,93,48.95,4.24,36.66,10.29
Todos Santos,90,68,23.45,-110.23,69.51,2.24
Tura,0,74,25.52,90.21,57.34,1.99
Luderitz,0,88,-26.65,15.16,60.49,13.85
Kahului,40,42,20.89,-156.47,75.76,16.11
Mahebourg,40,88,-20.41,57.7,77.0,7.47
Beisfjord,20,53,68.38,17.6,24.6,34.45
Birjand,75,58,32.86,59.22,57.2,32.21
Souillac,75,87,45.6,-0.6,40.62,5.82
Talnakh,80,71,69.49,88.39,-2.43,4.68
Sitka,0,29,37.17,-99.65,64.0,1.99
Avarua,88,78,-21.21,-159.78,82.4,21.92
Cimislia,0,65,46.52,28.78,43.23,5.82
Trinidad,44,88,-33.52,-56.9,65.21,5.46
Yongan,56,43,39.7,113.69,34.84,4.45
Huarmey,20,67,-10.07,-78.15,73.22,3.22
Launceston,0,68,-41.43,147.14,67.87,10.29
Mar del Plata,0,42,-46.43,-67.52,62.96,26.15
Nantucket,1,40,41.28,-70.1,34.57,6.93
Provideniya,90,78,64.42,-173.23,12.2,15.66
Port Elizabeth,1,33,39.31,-74.98,41.76,5.82
Ponta do Sol,12,91,-20.63,-46.0,71.51,2.66
Derzhavinsk,0,81,51.1,66.31,17.51,15.41
Kiknur,88,95,57.3,47.21,28.99,4.68
Viedma,0,71,-40.81,-62.99,67.6,9.26
Padang,20,100,-0.92,100.36,75.2,1.12
Vestmannaeyjar,92,100,63.44,-20.27,39.92,17.98
Alekseyevskaya,92,10,45.77,40.15,46.0,11.05
Guntakal,0,49,15.16,77.38,66.38,6.69
Barcelos,0,75,41.53,-8.62,48.38,11.41
Caravelas,0,100,-17.73,-39.27,83.48,14.74
Lompoc,1,27,34.64,-120.46,74.37,8.05
Kangaatsiaq,44,100,68.31,-53.46,2.35,11.39
Lavrentiya,36,100,65.58,-170.99,3.83,24.47
Butaritari,76,100,3.07,172.79,80.2,11.83
Lebedinyy,48,57,58.52,125.52,4.55,4.23
Hasaki,20,56,35.73,140.83,44.62,6.93
Novyy Urengoy,20,51,66.08,76.63,-9.4,3.0
Tam Ky,40,88,15.57,108.48,73.4,1.12
Ormond Beach,90,77,29.29,-81.06,58.57,11.41
Mbala,36,91,-8.85,31.37,60.17,2.1
Chapleau,20,45,47.85,-83.4,24.8,3.36
Cabo San Lucas,90,68,22.89,-109.91,69.69,2.24
Chabahar,64,95,25.29,60.65,73.36,12.73
Gizo,20,81,31.8,34.94,49.55,1.12
Zyryanka,24,58,65.73,150.89,-12.37,4.9
Locri,5,71,38.24,16.26,51.12,2.24
Kapaa,20,44,22.08,-159.32,75.51,21.92
Sherlovaya Gora,0,66,50.53,116.31,23.05,3.0
Litovko,48,72,49.24,135.18,37.67,6.8
Isangel,56,100,-19.55,169.27,81.91,12.84
Honiara,80,80,-9.43,159.96,84.2,2.55
Yabelo,0,40,4.89,38.09,69.49,7.7
Palmer,90,75,61.6,-149.11,39.67,16.11
Alice Springs,0,12,-23.7,133.88,77.0,2.24
Jieshi,76,100,22.82,115.83,65.12,11.5
Kazachinskoye,92,89,57.69,93.28,23.59,5.79
Cap-aux-Meules,75,62,47.38,-61.86,23.0,16.11
Chuy,88,95,-33.69,-53.46,68.5,12.28
Port Alfred,88,95,-33.59,26.89,68.52,3.0
Maua,32,89,0.23,37.94,60.98,1.43
Montrose,0,68,-37.81,145.34,70.43,6.93
Dongsheng,20,85,29.72,112.52,51.26,3.22
Tottori,40,75,35.5,134.23,41.0,9.17
Zarubino,8,87,42.65,131.06,38.53,3.67
Flinders,75,100,-34.58,150.85,67.05,13.87
Crixas,0,91,-14.55,-49.97,75.88,2.77
Sabzevar,12,94,36.21,57.68,43.84,10.83
Penzance,80,81,50.12,-5.53,46.71,17.22
Rocha,76,97,-34.48,-54.34,65.98,10.71
Tefe,20,94,-3.35,-64.71,78.8,3.36
Taloqan,8,65,36.74,69.54,33.76,2.44
Bilibino,44,49,68.06,166.44,-18.27,3.22
San Ramon,40,57,12.92,-85.84,73.45,13.87
Moree,0,64,-29.46,149.84,74.3,4.7
Marquetalia,75,68,5.3,-75.05,69.8,0.76
Bournemouth,8,93,50.72,-1.88,41.7,10.29
Clarence Town,75,78,-32.59,151.78,70.92,11.41
Arys,24,87,42.43,68.8,48.2,2.24
Dourdan,0,93,48.53,2.01,38.41,8.05
Saldanha,0,47,41.42,-6.55,43.52,12.62
Ostrovnoy,76,93,68.05,39.51,26.65,12.17
Ordzhonikidze,0,98,44.96,35.36,41.05,4.68
Athmallik,88,96,20.72,84.53,65.3,5.12
Tasiilaq,92,85,65.61,-37.64,17.6,2.24
Richards Bay,8,79,-28.77,32.06,73.54,7.47
Savinka,80,93,50.08,47.1,29.71,7.14
Burnie,0,56,-41.05,145.91,69.33,5.01
Ardmore,1,24,34.99,-86.85,58.73,4.7
Khatanga,76,69,71.98,102.47,-1.3,8.48
Mentakab,0,90,3.49,102.35,74.8,1.88
Sorland,20,100,67.67,12.69,35.11,24.14
Saint George,0,87,39.45,22.34,46.4,2.77
Bima,92,100,-8.45,118.73,74.8,4.23
Marienburg,20,83,52.12,9.98,40.01,17.22
Tianpeng,68,96,28.88,112.34,49.96,3.0
Kattivakkam,20,83,13.22,80.32,77.0,3.36
Bajil,0,69,38.23,-2.07,42.17,4.45
Dalbandin,92,43,28.9,64.41,61.03,9.93
Clyde River,1,75,70.47,-68.59,-20.21,16.11
Bagdarin,64,76,54.44,113.59,15.76,2.66
Taungdwingyi,24,79,20.0,95.55,68.95,2.89
Harper,1,23,30.3,-99.24,62.74,6.93
Payo,36,88,-3.75,103.64,74.03,3.0
Santa Cruz de la Palma,40,59,28.68,-17.76,59.52,9.17
Oktyabrskoye,40,84,56.73,85.44,9.84,2.24
Kemin,0,73,42.79,75.7,24.58,4.45
Saskylakh,12,35,71.97,114.09,-23.62,3.22
Ongandjera,32,35,-17.88,15.07,78.8,5.01
Eureka,1,100,40.8,-124.16,56.3,10.29
Orlik,76,69,52.51,99.83,10.0,2.77
Mocuba,68,92,-16.84,36.99,73.09,2.66
Marawi,76,86,8.0,124.29,77.0,5.01
Hofn,0,100,64.25,-15.21,32.0,4.7
Hamilton,90,93,32.3,-64.78,63.14,11.41
Bambous Virieux,40,88,-20.34,57.76,77.0,7.47
Kruisfontein,88,86,-34.0,24.73,68.23,14.74
Paita,20,61,-5.09,-81.11,81.32,7.81
Aklavik,20,45,68.22,-135.01,44.6,7.47
Yashkul,32,85,46.17,45.34,34.16,3.22
Sinjar,76,79,35.59,37.0,48.02,2.44
Stykkisholmur,92,99,65.08,-22.73,34.93,11.83
Alyangula,40,89,-13.85,136.42,84.2,2.66
Wonthaggi,92,81,-38.6,145.59,69.19,10.0
Sungaipenuh,44,94,-2.08,101.38,65.08,1.21
La Ronge,90,26,55.1,-105.3,46.4,13.87
Farafangana,76,98,-22.82,47.83,79.88,10.27
San Quintin,64,92,17.54,120.52,71.29,3.44
Chumikan,88,84,54.72,135.31,13.73,7.25
Katsuura,40,80,33.93,134.5,40.17,9.17
Buraydah,0,50,26.33,43.97,53.6,2.24
Manggar,32,97,-2.88,108.27,78.94,4.23
Mayumba,92,100,-3.44,10.65,80.51,3.44
Arraial do Cabo,75,93,-22.97,-42.02,77.0,3.36
Russell,0,46,-33.01,-68.8,73.4,4.7
Maputo,20,78,-25.97,32.57,77.0,5.82
Grindavik,75,93,63.84,-22.43,38.88,14.99
Laguna,75,27,27.52,-110.01,78.8,10.29
Kalmunai,56,100,7.42,81.82,75.2,3.44
Touros,20,88,-5.2,-35.46,80.6,3.36
Pevek,80,96,69.7,170.27,-8.5,13.96
Puerto Colombia,0,83,10.99,-74.96,78.4,18.34
Qeshm,40,93,26.96,56.27,66.2,4.7
Elizabeth City,1,68,36.3,-76.22,44.33,9.17
Genhe,0,60,50.78,121.52,20.75,6.02
Verkhnevilyuysk,56,72,63.45,120.31,0.64,4.23
Benguela,80,100,-12.58,13.4,80.74,3.22
Vardo,1,28,39.62,-77.74,41.43,10.29
Ambilobe,36,94,-13.19,49.05,70.75,2.66
Srednekolymsk,20,49,67.46,153.71,-16.83,3.44
Newport,20,86,51.59,-3.0,42.35,11.41
Turukhansk,64,69,65.8,87.96,-1.48,3.78
Illela,68,26,12.25,4.3,77.27,9.48
Ahipara,56,73,-35.17,173.16,73.99,9.71
San Patricio,100,98,-26.98,-56.83,69.94,3.44
Faanui,20,100,-16.48,-151.75,84.47,8.48
Tchollire,0,37,8.4,14.17,72.86,5.23
Elk City,1,25,35.41,-99.4,63.95,9.17
Altamira,68,79,-3.2,-52.21,80.6,4.68
Omsukchan,48,60,62.53,155.8,-9.22,5.23
Pitimbu,0,88,-7.47,-34.81,80.6,4.7
Hambantota,32,100,6.12,81.12,78.98,10.49
Kloulklubed,90,94,7.04,134.26,77.0,10.29
Manacor,0,67,39.57,3.21,56.26,19.46
Sistranda,75,92,63.73,8.83,31.42,11.41
Rio Grande,76,96,-32.03,-52.1,72.01,20.0
Karagay,92,79,58.27,54.93,22.06,3.78
Bukachacha,0,50,52.99,116.91,18.77,4.0
Guerrero Negro,0,42,27.97,-114.04,68.14,11.39
Shasta Lake,1,15,40.68,-122.36,72.07,3.36
Atherton,20,75,53.52,-2.49,41.47,16.11
Santa Maria,75,100,-29.69,-53.81,71.6,3.36
Mountain Home,1,30,43.13,-115.69,55.92,3.0
Neuquen,0,27,-38.95,-68.06,78.8,13.87
Victoria,75,94,5.28,115.24,76.05,6.69
Alta Floresta,24,87,-9.87,-56.08,78.94,2.21
Makakilo City,20,39,21.35,-158.09,75.72,10.29
Udachnyy,0,56,66.42,112.4,-12.33,2.44
Uyutne,48,95,45.2,33.3,48.47,7.7
Abha,0,87,18.22,42.5,56.34,1.99
Poum,0,77,41.28,20.71,29.71,1.77
Kodiak,75,26,39.95,-94.76,46.56,8.05
Iquique,0,64,-20.22,-70.14,69.8,19.46
Dariba,0,59,24.95,74.13,53.78,5.57
Daoukro,8,88,7.06,-3.97,74.48,2.44
Le Mars,20,60,42.79,-96.17,42.22,8.05
Cururupu,80,93,-1.82,-44.87,77.68,4.12
Iqaluit,20,68,63.75,-68.52,-16.3,28.86
Los Llanos de Aridane,40,59,28.66,-17.92,59.86,9.17
Hay River,20,39,60.82,-115.79,48.2,13.87
Narsaq,92,80,60.91,-46.05,35.6,2.24
Nome,1,27,30.04,-94.42,62.98,3.36
Mindelo,0,75,41.31,-8.72,48.47,11.41
Kavaratti,0,100,10.57,72.64,81.91,5.46
Alekseyevka,75,92,53.25,50.49,28.4,4.47
Kuusamo,90,100,65.96,29.19,30.2,10.29
Koumac,20,70,-20.56,164.28,84.2,8.03
Petropavlovsk-Kamchatskiy,20,66,53.05,158.65,15.8,6.71
Matara,8,81,-13.74,-72.9,48.43,1.99
Hami,0,58,42.84,93.51,32.36,7.25
Zhangye,0,57,38.94,100.46,25.25,10.83
Honningsvag,75,53,70.98,25.97,26.6,5.82
Ust-Nera,20,66,64.57,143.24,-17.32,2.66
Rio Gallegos,90,66,-51.62,-69.22,50.0,29.97
Longhua,0,91,29.21,106.21,49.37,2.89
Sumbe,92,100,-11.2,13.84,80.38,1.66
Fayaoue,76,100,-20.65,166.53,80.06,15.75
Erenhot,0,78,43.65,111.97,26.06,9.26
Lahaina,20,50,20.87,-156.68,75.69,16.11
Suntar,20,63,62.16,117.65,3.56,3.67
Saint-Donat-de-Montcalm,56,54,46.32,-74.22,18.23,7.02
Sao Joao da Barra,90,94,-21.64,-41.05,77.0,4.7
Hualmay,0,74,-11.1,-77.61,73.81,4.79
Doha,0,52,25.29,51.53,64.94,5.82
Sindou,24,47,10.66,-5.16,81.28,9.04
Marathon,12,65,48.72,-86.38,16.3,4.23
Vanavara,20,77,60.35,102.28,12.38,4.34
Pauini,36,85,-7.71,-67.0,81.95,2.77
Rawson,8,53,-43.3,-65.11,63.86,13.96
Leningradskiy,80,83,69.38,178.42,-2.47,28.16
Saryg-Sep,76,64,51.49,95.55,17.51,4.23
Alofi,80,74,-19.06,-169.92,84.2,10.29
Labuhan,64,86,-2.54,115.51,76.55,2.66
Sembabule,8,77,-0.08,31.46,61.61,2.44
Ngunguru,8,76,-35.62,174.5,72.0,7.0
Guatire,75,78,10.47,-66.54,74.41,4.7
Inza,80,94,53.86,46.36,29.66,2.66
Twentynine Palms,1,17,34.14,-116.05,75.56,9.17
Saint Anthony,1,41,43.97,-111.68,46.09,8.05
Tsumeb,80,45,-19.25,17.72,71.42,3.67
Nara,20,80,34.68,135.8,42.39,1.12
Beringovskiy,0,100,63.05,179.32,-1.08,6.69
Emerald,0,69,-23.53,148.16,80.28,9.17
Port-Cartier,75,47,50.03,-66.88,15.01,14.99
Nyurba,44,57,63.29,118.35,2.12,2.66
Sydney,75,73,-33.85,151.22,68.52,8.05
Pasni,0,93,25.26,63.48,70.52,6.02
Minatitlan,40,51,19.39,-104.05,82.4,13.87
Barstow,1,20,31.46,-103.39,63.9,9.17
Carutapera,36,98,-1.2,-46.02,76.51,3.89
Kargasok,0,88,59.06,80.87,14.81,4.23
Ballina,76,90,54.11,-9.15,42.24,4.0
Marystown,56,100,47.17,-55.16,28.0,8.01
Zhigansk,0,72,66.77,123.37,-10.75,7.36
Koslan,92,87,63.46,48.9,27.77,5.23
Venado Tuerto,0,49,-33.75,-61.97,71.01,3.33
Teguldet,68,89,57.31,88.17,19.45,5.23
Nieuwpoort,68,80,51.13,2.75,37.18,17.22
Shizunai,12,83,42.33,142.37,35.78,4.9
Cefalu,0,87,38.04,14.02,45.73,3.0
Isla Vista,1,25,34.41,-119.86,72.9,3.36
Cao Bang,92,99,22.67,106.25,58.01,3.56
Kirakira,12,100,-10.46,161.92,83.89,10.71
Taltal,0,83,-25.41,-70.49,62.6,2.21
Vagamo,68,74,61.88,9.1,20.08,4.68
Bacsalmas,0,61,46.13,19.33,46.4,4.7
Beloha,56,80,-25.17,45.06,74.71,4.9
Coahuayana,12,27,18.62,-100.35,84.83,2.89
Hovd,75,84,63.83,10.7,31.53,11.41
Tall Kayf,0,56,37.08,41.07,37.9,17.43
Kargil,76,83,34.56,76.13,3.61,0.54
Samfya,24,89,-11.37,29.56,66.92,3.0
Skibotn,0,49,69.39,20.27,24.8,20.8
Cabatuan,68,89,16.95,121.67,72.95,3.0
Port Lincoln,0,89,-34.72,135.86,67.46,10.6
Xuddur,0,50,4.12,43.89,72.1,11.27
Vao,92,96,59.1,26.19,38.44,12.73
Tiarei,40,66,-17.53,-149.33,88.27,4.7
Shache,0,39,38.42,77.24,45.0,4.0
Korcula,75,87,42.96,17.14,50.0,2.24
Vesyegonsk,80,90,58.67,37.27,29.35,13.4
Beidao,24,85,34.57,105.89,30.83,2.44
San Policarpo,92,89,12.18,125.51,79.07,16.87
Aksarka,76,78,66.56,67.8,9.05,10.04
Kharan,76,42,28.58,65.42,56.26,3.89
Cabedelo,0,88,-6.97,-34.84,80.6,4.7
Mount Gambier,90,93,-37.83,140.78,62.6,4.7
Te Anau,8,71,-45.41,167.72,68.05,3.22
Port Hedland,0,74,-20.31,118.58,80.6,10.29
Huai Thalaeng,20,78,15.0,102.65,81.46,2.66
Praia da Vitoria,0,93,38.73,-27.07,58.48,6.02
Qiongshan,75,94,20.01,110.35,73.4,4.47
Acapulco,75,78,16.86,-99.88,82.4,11.41
Mitu,80,93,36.2,46.09,32.41,3.78
Santa Lucia,0,75,39.93,9.66,44.78,2.21
Aswan,0,66,24.09,32.9,50.68,6.58
Mendeleyevo,90,93,56.04,37.23,34.41,6.71
Maningrida,12,88,-12.05,134.23,84.56,4.56
Cuamba,48,76,-14.8,36.54,71.87,3.78
Richmond,20,76,49.16,-123.14,58.91,10.29
Manokwari,0,94,-0.87,134.08,82.81,1.21
Agadez,8,24,16.97,7.99,74.89,10.83
Avera,1,35,33.19,-82.53,57.36,2.21
Taicheng,92,61,22.25,112.8,72.99,4.45
Kandi,76,29,11.13,2.93,80.15,6.02
Uinskoye,92,87,56.88,56.58,23.0,2.44
Peniche,20,81,39.36,-9.38,51.24,6.93
Rohatyn,0,81,49.41,24.61,44.6,11.18
Chapais,90,71,49.78,-74.86,8.6,16.11
Bethanien,0,58,-26.5,17.16,60.26,2.89
Bay-Khaak,80,65,51.16,94.47,11.08,7.25
Terrak,80,59,65.09,12.37,33.57,14.99
Port Blair,0,99,11.67,92.75,82.9,9.04
Cap Malheureux,40,88,-19.98,57.61,77.0,9.71
College,40,39,64.86,-147.8,46.96,9.17
Saiha,0,86,22.49,92.98,59.81,1.66
Antofagasta,20,77,-23.65,-70.4,64.4,14.99
Port-Gentil,75,88,-0.72,8.78,82.4,4.7
Baoshan,0,71,31.41,121.49,53.24,15.66
Aniva,0,74,46.71,142.53,33.8,6.71
Qaqortoq,92,80,60.72,-46.03,35.6,2.24
Erzin,0,71,36.95,36.2,51.03,2.24
Leeton,0,41,-34.55,146.4,74.25,4.7
Synya,92,89,65.37,58.04,25.61,8.93
Aitape,76,100,-3.15,142.36,77.72,5.46
Jumla,36,97,29.28,82.18,27.01,0.76
Arlit,48,52,18.74,7.39,69.98,0.98
Tanabe,0,60,33.73,135.39,44.65,6.93
La Rioja,0,95,-29.41,-66.86,63.1,2.77
Mount Isa,0,21,-20.73,139.49,82.4,5.82
Dingle,64,72,11.0,122.67,78.62,15.08
Porto Novo,75,100,-23.68,-45.44,71.6,2.24
Nalut,0,53,31.86,10.98,48.38,2.89
Foam Lake,0,90,51.65,-103.53,29.75,6.46
Leshukonskoye,80,85,64.9,45.76,30.16,6.8
Floro,88,64,61.6,5.03,37.78,16.11
Barmer,0,67,25.74,71.4,60.62,6.24
Kodino,88,87,63.72,39.64,31.06,9.26
Kiama,75,100,-34.67,150.86,66.7,13.87
Port Hardy,20,58,50.7,-127.42,55.4,4.7
Ayan,0,70,40.67,33.6,19.36,1.77
Voh,12,88,-20.95,164.69,82.22,9.48
Arman,32,56,59.7,150.17,1.63,7.47
Porirua,0,82,-41.14,174.84,68.32,5.82
Muros,0,75,42.77,-9.06,43.99,10.29
Zhuhai,0,58,40.71,112.04,24.8,4.47
Garissa,0,81,-0.46,39.64,75.83,7.14
Bambanglipuro,92,100,-7.95,110.28,69.26,3.67
Sao Filipe,8,94,14.9,-24.5,71.51,13.18
Eirunepe,44,81,-6.66,-69.87,79.07,3.0
Bumba,20,98,2.18,22.47,70.25,3.44
Muzhi,56,82,65.4,64.7,17.78,10.71
Ducheng,48,99,30.54,114.9,54.86,4.9
Ust-Tsilma,88,86,65.44,52.15,26.51,5.35
Sturgeon Bay,1,73,44.83,-87.38,35.37,5.23
Kamenka,80,80,53.19,44.05,36.0,5.57
Erdenet,0,79,49.03,104.04,28.9,5.68
Sarangani,92,100,5.4,125.46,76.24,5.35
El Tigre,24,42,8.89,-64.25,87.26,17.87
Urusha,0,53,54.05,122.9,23.18,9.15
Boa Vista,20,38,2.82,-60.67,89.6,10.29
Ostersund,88,92,63.18,14.64,25.54,12.75
Taksimo,56,73,56.36,114.84,11.12,2.21
Chernyshevskiy,56,78,63.01,112.47,6.17,2.66
Camacha,40,72,33.08,-16.33,61.83,11.41
Ramsar,92,100,36.92,50.64,48.25,19.77
Bathsheba,75,83,13.22,-59.52,77.0,12.75
Juazeiro,0,54,-9.43,-40.51,82.4,3.36
Atambua,100,100,-9.11,124.89,75.79,4.12
Bratsk,75,85,56.15,101.63,19.2,13.42
Sterling,90,39,39.0,-77.4,45.81,8.05
Adiake,20,88,5.29,-3.3,80.6,1.12
Adrar,0,15,27.87,-0.29,68.0,13.87
Pecos,1,20,31.42,-103.49,63.88,9.17
Comodoro Rivadavia,20,28,-45.87,-67.48,68.0,24.16
Sabla,44,24,12.75,4.71,77.23,9.6
Lazaro Cardenas,20,25,28.39,-105.62,65.21,14.99
Motala,92,93,58.54,15.04,37.17,12.75
Coaticook,40,62,45.13,-71.8,18.84,5.82
Broome,44,86,52.47,1.45,39.47,9.17
Khasan,8,87,42.43,130.64,38.53,3.67
Kalemie,12,100,-5.95,29.2,75.43,1.1
Suda,88,95,59.15,37.56,28.85,15.3
Lapa,75,100,-25.77,-49.72,67.51,4.7
The Hammocks,75,74,25.67,-80.44,76.95,3.36
Eston,20,69,51.15,-108.75,38.66,12.75
Bandarbeyla,92,100,9.49,50.81,77.23,5.01
Inhambane,24,100,-23.87,35.38,74.08,5.23
Rongcheng,56,68,37.16,122.42,46.45,14.74
Lasa,75,93,34.92,32.53,53.47,9.17
Dukat,0,65,42.44,22.31,43.0,2.21
Pangnirtung,24,83,66.15,-65.72,-14.13,11.5
Mogadishu,0,99,2.04,45.34,81.64,19.89
Belaya Gora,24,53,68.54,146.19,-18.22,4.45
Faya,0,87,18.39,42.45,56.34,5.01
Tela,20,58,15.78,-87.45,82.54,16.11
Cayambe,75,72,0.04,-78.14,64.4,10.29
